ID,tool,level
26,JavaScript,Both
26,Kotlin,
26,PHP,Both
26,Python,Both
26,Ruby,
26,SQL,Both
26,Swift,
26,TypeScript,Want to work with NEXT year
26,Android,
26,Arduino,Both
26,AWS,
26,Docker,
26,Google Cloud Platform,
26,Heroku,Both
26,IBM Cloud or Watson,
26,iOS,
26,Linux,
26,MacOS,
26,Microsoft Azure,
26,Raspberry Pi,
26,Windows,Both
26,WordPress,
26,Angular,
26,ASP.NET,
26,Django,Both
26,Express,
26,jQuery,Both
26,Laravel,
26,React.js,Both
26,Ruby on Rails,
26,Vue.js,Want to work with NEXT year
26,Spring,
26,.NET,
26,.NET Core,
26,Flutter,Want to work with NEXT year
26,Node.js,Want to work with NEXT year
26,Puppet,
26,React Native,Both
26,Deno.js,
26,GitHub,Both
26,GitLab,Worked with in PAST year
26,Facebook Workplace,
26,Slack,
26,Microsoft Teams,
26,Microsoft Azure2,
26,Trello,
26,"Google Suite (Docs, Meet, etc)",
26,Stack Overflow for Teams,
26,Jira,
27,C,
27,C#,
27,C++,
27,HTML/CSS,
27,Java,
27,JavaScript,
27,Kotlin,
27,PHP,
27,Python,
27,Ruby,
27,SQL,
27,Swift,
27,TypeScript,
27,Android,Worked with in PAST year
27,Arduino,Worked with in PAST year
27,AWS,
27,Docker,
27,Google Cloud Platform,Want to work with NEXT year
27,Heroku,Worked with in PAST year
27,IBM Cloud or Watson,Worked with in PAST year
27,iOS,
27,Linux,
27,MacOS,
27,Microsoft Azure,Both
27,Raspberry Pi,
27,Windows,
27,WordPress,Worked with in PAST year
27,Angular,
27,ASP.NET,
27,Django,Both
27,Express,
27,jQuery,
27,Laravel,
27,React.js,
27,Ruby on Rails,
27,Vue.js,
27,Spring,
27,.NET,
27,.NET Core,
27,Flutter,Worked with in PAST year
27,Node.js,
27,Puppet,
27,React Native,
27,Deno.js,
27,GitHub,Both
27,GitLab,
27,Facebook Workplace,
27,Slack,Both
27,Microsoft Teams,
27,Microsoft Azure2,Both
27,Trello,Both
27,"Google Suite (Docs, Meet, etc)",Both
27,Stack Overflow for Teams,
27,Jira,
28,C,
28,C#,
28,C++,Worked with in PAST year
28,HTML/CSS,Worked with in PAST year
28,Java,Both
28,JavaScript,
28,Kotlin,
28,PHP,
28,Python,
28,Ruby,
28,SQL,Both
28,Swift,
28,TypeScript,Both
28,Android,Both
28,Arduino,
28,AWS,
28,Docker,
28,Google Cloud Platform,
28,Heroku,
28,IBM Cloud or Watson,
28,iOS,
28,Linux,Both
28,MacOS,
28,Microsoft Azure,
28,Raspberry Pi,
28,Windows,Both
28,WordPress,
28,Angular,
28,ASP.NET,Both
28,Django,
28,Express,
28,jQuery,
28,Laravel,
28,React.js,
28,Ruby on Rails,
28,Vue.js,
28,Spring,
28,.NET,Both
28,.NET Core,
28,Flutter,Both
28,Node.js,
28,Puppet,
28,React Native,
28,Deno.js,
28,GitHub,Both
28,GitLab,
28,Facebook Workplace,
28,Slack,
28,Microsoft Teams,
28,Microsoft Azure2,
28,Trello,
28,"Google Suite (Docs, Meet, etc)",Both
28,Stack Overflow for Teams,
